Flag ID      | Name                                               | Category        | Region
----------------------------------------------------------------------------------------------------
114          | Dark Moon Ring                                     | Unknown         | Various
171          | Godrick's Great Rune                               | Great Rune      | Various
172          | Radahn's Great Rune                                | Great Rune      | Various
173          | Morgott's Great Rune                               | Great Rune      | Various
174          | Rykard's Great Rune                                | Great Rune      | Various
175          | Mohg's Great Rune                                  | Great Rune      | Various
176          | Malenia's Great Rune                               | Great Rune      | Various
191          | Godrick's Great Rune                               | Great Rune      | Various
192          | Radahn's Great Rune                                | Great Rune      | Various
193          | Morgott's Great Rune                               | Great Rune      | Various
194          | Rykard's Great Rune                                | Great Rune      | Various
195          | Mohg's Great Rune                                  | Great Rune      | Various
196          | Malenia's Great Rune                               | Great Rune      | Various
197          | Remembrance of the Full Moon Queen                 | Great Rune      | Various
200          | Grace_211200                                       | Grace           | Various
6700         | Flask of Wondrous Physick                          | Unknown         | Various
9101         | [Enia - Forging] Remembrance of the Grafted - U... | Shop Unlock     | Various
9104         | [Enia - Margit] Fell Omen Cloak - Unlocked         | Shop Unlock     | Various
9107         | [Enia - Godfrey] Elden Lord Crown - Unlocked       | Shop Unlock     | Various
9108         | [Enia - Forging] Remembrance of the Naturalborn... | Shop Unlock     | Various
9111         | [Enia - Forging] Remembrance of the Lichdragon ... | Shop Unlock     | Various
9112         | [Enia - Mohg] Lord of Blood's Robe - Unlocked      | Shop Unlock     | Various
9115         | [Enia - Forging] Remembrance of the Dragonlord ... | Shop Unlock     | Various
9116         | [Enia - Maliketh] Maliketh's Helm - Unlocked       | Shop Unlock     | Various
9118         | [Enia - Rennala] Queen's Crescent Crown - Unlocked | Shop Unlock     | Various
9119         | [Enia - Royal Knight Loretta] Royal Knight Helm... | Shop Unlock     | Various
9120         | [Enia - Malenia] Malenia's Winged Helm - Unlocked  | Shop Unlock     | Various
9122         | [Enia - Forging] Remembrance of the Blasphemous... | Shop Unlock     | Various
9123         | [Enia - Forging] Elden Remembrance - Unlocked      | Shop Unlock     | Various
9130         | [Enia - Radahn] Radahn's Redmane Helm - Unlocked   | Shop Unlock     | Various
9131         | [Enia - Forging] Remembrance of the Fire Giant ... | Shop Unlock     | Various
9133         | [Enia - Forging] Remembrance of the Regal Ances... | Shop Unlock     | Various
9140         | Remembrance of the Dancing Lion - Unlocked         | Shop Unlock     | Various
9143         | [Enia - Radahn, Consort of Miquella] Young Lion... | Shop Unlock     | Various
9146         | [Enia - Messmer the Impaler] Messmer's Helm - U... | Shop Unlock     | Various
9148         | Remembrance of Putrescence - Unlocked              | Shop Unlock     | Various
9155         | Remembrance of the Mother of Fingers - Unlocked    | Shop Unlock     | Various
9156         | Remembrance of the Lord of Frenzied Flame - Unl... | Shop Unlock     | Various
9160         | Remembrance of the Saint of the Bud - Unlocked     | Shop Unlock     | Various
9162         | Remembrance of the Shadow Sunflower - Unlocked     | Shop Unlock     | Various
9164         | [Enia - Commander Gaius] Gaius's Helm - Unlocked   | Shop Unlock     | Various
9182         | [Enia - Elemer of the Briar] Briar Helm - Unlocked | Shop Unlock     | Various
9184         | [Enia - Commander Niall] Veteran's Helm - Unlocked | Shop Unlock     | Various
9190         | [Enia - Rellana, Twin Moon Knight] Rellana's He... | Shop Unlock     | Various
9440         | [Sorcery] Fleeting Microcosm - Unlocked            | Shop Unlock     | Various
9500         | Mending Rune of Perfect Order                      | Unknown         | Various
9502         | Mending Rune of the Death-Prince                   | Unknown         | Various
9504         | Mending Rune of the Fell Curse                     | Unknown         | Various
9800         | Good_12302                                         | Unknown         | Various
9810         | Good_12307                                         | Unknown         | Various
60000        | Flask of Crimson Tears                             | Unknown         | Various
60020        | Flask of Wondrous Physick                          | Unknown         | Various
60100        | Spectral Steed Whistle                             | Unknown         | Various
60110        | Spirit Calling Bell                                | Unknown         | Various
60120        | [Merchant Kale] Crafting Kit - Purchased           | Shop Stock      | Various
60130        | Whetstone Knife                                    | Unknown         | Various
60140        | Tailoring Tools                                    | Unknown         | Various
60150        | Golden Tailoring Tools                             | Unknown         | Various
60210        | Tarnished's Wizened Finger                         | Unknown         | Various
60220        | Tarnished's Furled Finger                          | Unknown         | Various
60230        | Small Golden Effigy                                | Unknown         | Various
60240        | Duelist's Furled Finger                            | Unknown         | Various
60250        | Small Red Effigy                                   | Unknown         | Various
60260        | Recusant Finger                                    | Unknown         | Various
60270        | Bloody Finger                                      | Unknown         | Various
60280        | White Cipher Ring                                  | Unknown         | Various
60290        | [Twin Maiden Husks] Blue Cipher Ring - Purchased   | Shop Stock      | Various
60300        | Taunter's Tongue                                   | Unknown         | Various
60310        | Finger Severer                                     | Unknown         | Various
60400        | Memory Stone                                       | Unknown         | Various
60410        | Memory Stone                                       | Unknown         | Various
60420        | Memory Stone                                       | Unknown         | Various
60430        | Memory Stone                                       | Unknown         | Various
60440        | Memory Stone                                       | Unknown         | Various
60450        | Memory Stone                                       | Unknown         | Various
60460        | Memory Stone                                       | Unknown         | Various
60470        | [Twin Maiden Husks] Memory Stone - Purchased       | Shop Stock      | Various
60500        | Talisman Pouch                                     | Unknown         | Various
60510        | Talisman Pouch                                     | Unknown         | Various
60520        | Talisman Pouch                                     | Unknown         | Various
62010        | Map: Limgrave, West                                | Map Fragment    | Various
62011        | Map: Weeping Peninsula                             | Map Fragment    | Various
62012        | Map: Limgrave, East                                | Map Fragment    | Various
62020        | Map: Liurnia, East                                 | Map Fragment    | Various
62021        | Map: Liurnia, North                                | Map Fragment    | Various
62022        | Map: Liurnia, West                                 | Map Fragment    | Various
62030        | Map: Altus Plateau                                 | Map Fragment    | Various
62031        | Map: Leyndell, Royal Capital                       | Map Fragment    | Various
62032        | Map: Mt. Gelmir                                    | Map Fragment    | Various
62040        | Map: Caelid                                        | Map Fragment    | Various
62041        | Map: Dragonbarrow                                  | Map Fragment    | Various
62050        | Map: Mountaintops of the Giants, West              | Map Fragment    | Various
62051        | Map: Mountaintops of the Giants, East              | Map Fragment    | Various
62052        | Map: Consecrated Snowfield                         | Map Fragment    | Various
62060        | Map: Ainsel River                                  | Map Fragment    | Various
62061        | Map: Lake of Rot                                   | Map Fragment    | Various
62062        | Map: Mohgwyn Palace                                | Map Fragment    | Various
62063        | Map: Siofra River                                  | Map Fragment    | Various
62064        | Map: Deeproot Depths                               | Map Fragment    | Various
62080        | Good_2008600                                       | Map Fragment    | Various
62081        | Good_2008601                                       | Map Fragment    | Various
62082        | Good_2008602                                       | Map Fragment    | Various
62083        | Good_2008603                                       | Map Fragment    | Various
62084        | Good_2008604                                       | Map Fragment    | Various
65000        | Crimsonspill Crystal Tear                          | Whetblade       | Various
65010        | Greenspill Crystal Tear                            | Whetblade       | Various
65020        | Crimson Crystal Tear                               | Whetblade       | Various
65030        | Crimson Crystal Tear                               | Whetblade       | Various
65040        | Cerulean Crystal Tear                              | Whetblade       | Various
65050        | Cerulean Crystal Tear                              | Whetblade       | Various
65060        | Speckled Hardtear                                  | Whetblade       | Various
65070        | Crimson Bubbletear                                 | Whetblade       | Various
65080        | Opaline Bubbletear                                 | Whetblade       | Various
65090        | Crimsonburst Crystal Tear                          | Whetblade       | Various
65100        | Greenburst Crystal Tear                            | Whetblade       | Various
65110        | Opaline Hardtear                                   | Whetblade       | Various
65120        | Winged Crystal Tear                                | Whetblade       | Various
65130        | Thorny Cracked Tear                                | Whetblade       | Various
65140        | Spiked Cracked Tear                                | Whetblade       | Various
65150        | Windy Crystal Tear                                 | Whetblade       | Various
65160        | Ruptured Crystal Tear                              | Whetblade       | Various
65170        | Ruptured Crystal Tear                              | Whetblade       | Various
65180        | Leaden Hardtear                                    | Whetblade       | Various
65190        | Twiggy Cracked Tear                                | Whetblade       | Various
65200        | Crimsonwhorl Bubbletear                            | Whetblade       | Various
65210        | Strength-knot Crystal Tear                         | Whetblade       | Various
65220        | Dexterity-knot Crystal Tear                        | Whetblade       | Various
65230        | Intelligence-knot Crystal Tear                     | Whetblade       | Various
65240        | Faith-knot Crystal Tear                            | Whetblade       | Various
65250        | Cerulean Hidden Tear                               | Whetblade       | Various
65260        | Stonebarb Cracked Tear                             | Whetblade       | Various
65270        | Purifying Crystal Tear                             | Whetblade       | Various
65280        | Flame-Shrouding Cracked Tear                       | Whetblade       | Various
65290        | Magic-Shrouding Cracked Tear                       | Whetblade       | Various
65300        | Lightning-Shrouding Cracked Tear                   | Whetblade       | Various
